Timestamp(ms),Current(uA)
5760,45180.027
5770,45178.527
5780,45180.422
5790,45193.273
5800,45689.102
5810,46166.902
5820,45552.617
5830,45300.781
5840,45218.520
5850,45193.238
5860,45175.332
5870,45182.438
5880,45177.262
5890,45162.617
5900,45170.289
5910,45185.195
5920,45192.625
5930,45447.672
5940,45281.922
5950,45229.938
5960,45213.664
5970,45220.043
5980,45201.539
5990,45198.535
6000,45190.480
6010,45196.133
6020,45196.824
6030,45195.684
6040,45198.012
6050,49843.160
6060,55555.473
6070,57905.633
6080,58537.160
6090,50724.879
6100,47246.703
6110,45958.617
6120,45491.918
6130,45310.387
6140,45255.699
6150,45212.090
6160,45175.309
6170,45180.520
6180,45194.816
6190,45179.273
6200,45178.828
6210,45390.988
6220,45275.285
6230,45198.918
6240,45198.516
6250,45182.664
6260,45179.215
6270,45162.012
6280,45166.320
6290,45161.266
6300,45160.133
6310,45159.012
6320,45168.160
6330,46500.367
6340,46005.211
6350,45489.336
6360,45278.617
6370,45210.043
6380,45186.863
6390,45170.180
6400,45172.086
6410,45183.555
6420,45162.055
6430,45161.246
6440,45144.379
6450,45149.590
6460,45370.148
6470,45244.680
6480,45202.527
6490,45179.465
6500,45160.000
6510,45157.539
6520,45154.809
6530,45158.344
6540,45179.523
6550,45181.074
6560,45173.715
6570,45176.500
6580,51368.211
6590,55998.070
6600,57927.801
6610,58571.883
6620,49690.340
6630,46836.574
6640,45789.688
6650,45394.898
6660,45246.176
6670,45192.852
6680,45181.578
6690,45162.160
6700,45159.426
6710,45162.461
6720,45169.879
6730,45158.059
6740,45426.480
6750,45261.723
6760,45203.324
6770,45167.520
6780,45161.652
6790,45154.441
6800,45145.906
6810,45144.906
6820,45155.918
6830,45142.656
6840,45149.449
6850,45148.277
6860,46881.152
6870,45812.320
6880,45415.324
6890,45261.090
6900,45198.945
6910,45156.559
6920,45140.738
6930,45148.367
6940,45149.961
6950,45149.516
6960,45156.348
6970,45157.172
6980,45153.176
6990,54100.617
7000,57102.113
7010,58303.789
7020,52692.609
7030,47912.602
7040,46169.926
7050,45537.668
7060,45278.395
7070,45216.602
7080,45169.930
7090,45171.984
7100,45171.570
7110,45180.047
7120,45166.363
7130,45143.934
7140,45602.578
7150,45322.141
7160,45214.754
7170,45186.270
7180,45175.082
7190,45147.371
7200,45139.656
7210,45130.199
7220,45140.715
7230,45144.676
7240,45145.469
7250,45141.355
7260,45146.023
7270,46178.867
7280,45526.355
7290,45294.512
7300,45204.551
7310,45163.832
7320,45151.426
7330,45163.270
7340,45157.195
7350,45171.766
7360,45160.801
7370,45166.441
7380,45161.684
7390,45537.188
7400,45290.133
7410,45228.621
7420,45174.477
7430,45151.293
7440,45144.223
7450,45154.566
7460,45154.883
7470,45161.305
7480,45159.727
7490,45159.496
7500,45159.813
7510,46439.430
7520,54925.676
7530,57482.516
7540,58364.113
7550,51362.531
7560,47418.973
7570,45986.539
7580,45437.859
7590,45254.957
7600,45182.891
7610,45160.488
7620,45131.957
7630,45135.383
7640,45131.668
7650,45125.742
7660,45133.961
7670,45440.133
7680,45238.734
7690,45173.020
7700,45152.492
7710,45163.918
7720,45152.309
7730,45153.520
7740,45160.055
7750,45155.391
7760,45152.930
7770,45153.195
7780,45154.789
7790,45911.246
7800,46045.895
7810,45468.320
7820,45267.969
7830,45208.273
7840,45161.711
7850,45141.668
7860,45141.215
7870,45148.938
7880,45142.746
7890,45145.348
7900,45155.773
7910,45156.387
7920,45478.781
7930,45272.586
7940,45205.281
7950,45177.461
7960,45156.898
7970,45172.426
7980,45175.527
7990,45160.961
8000,45148.082
8010,45147.793
8020,45154.879
8030,45154.477
8040,45507.172
8050,45306.539
8060,45220.828
8070,45179.816
8080,45160.926
8090,45168.469
8100,45174.867
8110,45167.020
8120,45164.293
8130,45157.730
8140,45167.727
8150,45164.133
8160,45332.246
8170,46097.047
8180,45513.320
8190,45288.914
8200,45200.945
8210,45171.914
8220,45157.855
8230,45163.285
8240,45148.188
8250,45156.625
8260,45143.922
8270,45159.422
8280,45154.473
8290,45492.648
8300,45285.672
8310,45203.375
8320,45168.883
8330,45172.277
8340,45173.793
8350,45169.441
8360,45169.949
8370,45153.121
8380,45166.852
8390,45159.668
8400,45161.512
8410,45242.301
8420,45192.438
8430,45152.074
8440,45170.953
8450,45177.613
8460,45156.547
8470,45157.902
8480,45181.090
8490,45182.590
8500,45175.824
8510,48461.652
8520,55793.180
8530,58355.125
8540,59149.555
8550,59529.723
8560,59606.355
8570,59749.613
8580,59762.125
8590,59796.184
8600,59832.031
8610,59829.543
8620,59821.047
8630,59864.332
8640,59880.840
8650,59882.430
8660,59905.078
8670,59941.141
8680,60005.164
8690,59972.270
8700,59895.340
8710,59856.609
8720,59862.262
8730,59838.078
8740,59865.316
8750,59846.969
8760,59856.168
8770,59870.090
8780,59894.551
8790,59907.313
8800,59962.387
8810,59962.547
8820,59948.770
8830,60010.051
8840,60058.547
8850,59929.094
8860,59944.090
8870,59989.555
8880,59949.156
8890,60002.813
8900,59931.277
8910,59844.961
8920,59906.258
8930,59919.871
8940,59920.074
8950,59888.715
8960,59881.727
8970,59959.496
8980,59914.590
8990,59824.656
9000,59912.516
9010,59889.172
9020,59890.754
9030,59899.465
9040,59950.480
9050,60025.461
9060,60026.793
9070,59985.289
9080,59944.129
9090,59974.789
9100,59971.359
9110,59945.664
9120,59236.188
9130,59202.891
9140,57649.910
9150,49229.324
9160,46665.914
9170,45746.449
9180,45414.770
9190,45270.438
9200,45211.137
9210,45220.234
9220,45203.316
9230,45201.867
9240,45194.336
9250,45183.957
9260,45191.750
9270,45744.836
9280,45410.113
9290,45288.414
9300,45235.871
9310,45218.809
9320,45204.102
9330,45188.254
9340,45167.625
9350,45168.488
9360,45153.496
9370,45176.477
9380,45188.633
9390,45462.500
9400,45289.820
9410,45207.051
9420,45189.379
9430,45175.715
9440,45174.316
9450,45193.672
9460,45192.641
9470,45183.031
9480,45191.379
9490,45182.758
9500,45188.871
9510,46828.805
9520,45916.629
9530,45451.949
9540,45297.996
9550,45229.652
9560,45216.273
9570,45198.215
9580,45202.008
9590,45197.750
9600,45200.402
9610,45207.367
9620,45193.344
9630,45185.027
9640,45442.859
9650,45292.625
9660,45221.020
9670,45213.875
9680,45203.520
9690,45212.207
9700,45212.102
9710,45208.313
9720,45210.406
9730,45184.031
9740,45185.020
9750,45202.813
9760,45481.254
9770,45295.441
9780,45228.465
9790,45198.520
9800,45185.836
9810,45213.430
9820,45213.371
9830,45214.656
9840,45208.398
9850,45211.645
9860,45201.324
9870,45194.902
9880,46390.813
9890,45976.164
9900,45492.055
9910,45296.320
9920,45244.961
9930,45222.746
9940,45217.266
9950,45207.773
9960,45196.582
9970,45208.270
9980,45200.367
9990,45202.840
10000,45189.191
10010,45457.758
10020,45290.344
10030,45219.945
10040,45204.289
10050,45207.906
10060,45224.332
10070,45212.207
10080,45193.418
10090,45186.160
10100,45205.293
10110,45212.945
10120,45193.520
10130,45271.566
10140,45220.715
10150,45202.719
10160,45215.375
10170,45225.293
10180,45228.129
10190,45216.012
10200,45219.551
10210,45215.938
10220,45220.660
10230,50952.035
10240,56562.641
10250,58521.098
10260,59372.586
10270,59694.867
10280,59821.961
10290,59803.340
10300,59748.602
10310,59766.391
10320,59797.918
10330,59871.047
10340,59881.859
10350,59840.004
10360,59741.063
10370,59790.566
10380,59805.203
10390,59788.422
10400,59731.695
10410,59834.156
10420,59787.082
10430,59839.895
10440,59829.449
10450,59869.074
10460,59968.645
10470,59932.352
10480,59902.801
10490,59983.023
10500,59943.918
10510,60012.340
10520,59888.820
10530,59823.156
10540,59826.570
10550,59909.203
10560,59845.922
10570,59871.660
10580,59836.988
10590,59931.074
10600,60041.328
10610,59912.438
10620,59844.512
10630,59919.313
10640,60055.816
10650,60049.082
10660,60081.766
10670,59990.809
10680,59817.770
10690,59784.391
10700,59767.254
10710,59814.168
10720,59734.793
10730,59740.070
10740,59726.004
10750,59734.953
10760,59723.527
10770,59700.828
10780,59765.043
10790,59783.410
10800,59828.477
10810,59899.711
10820,59845.211
10830,59748.789
10840,59137.773
10850,59217.379
10860,54231.523
10870,48471.762
10880,46393.270
10890,45637.477
10900,45370.520
10910,45266.887
10920,45221.316
10930,45228.938
10940,45209.098
10950,45205.059
10960,45198.199
10970,45191.648
10980,45935.633
10990,45635.813
11000,45361.965
11010,45256.148
11020,45210.699
11030,45197.043
11040,45173.902
11050,45161.398
11060,45170.277
11070,45178.977
11080,45171.754
11090,45163.934
11100,45182.980
11110,45388.383
11120,45258.078
11130,45200.410
11140,45170.590
11150,45178.352
11160,45190.066
11170,45202.605
11180,45194.527
11190,45195.902
11200,45195.176
11210,45188.027
11220,45192.023
11230,46766.586
11240,45793.840
11250,45429.457
11260,45283.375
11270,45234.086
11280,45212.363
11290,45201.211
11300,45195.547
11310,45182.316
11320,45182.203
11330,45199.211
11340,45184.234
11350,45198.871
11360,45400.051
11370,45265.023
11380,45205.734
11390,45196.855
11400,45207.211
11410,45200.406
11420,45187.520
11430,45171.832
11440,45179.000
11450,45179.324
11460,45187.230
11470,45199.805
11480,45453.375
11490,45295.637
11500,45247.426
11510,45216.695
11520,45204.875
11530,45198.031
11540,45198.305
11550,45216.402
11560,45227.152
11570,45215.719
11580,45217.012
11590,45213.168
11600,46812.922
11610,45829.484
11620,45428.289
11630,45284.844
11640,45246.957
11650,45199.109
11660,45200.902
11670,45185.613
11680,45191.340
11690,45206.352
11700,45198.785
11710,45222.012
11720,45207.176
11730,45424.410
11740,45270.656
11750,45213.547
11760,45196.078
11770,45193.277
11780,45204.117
11790,45196.516
11800,45176.953
11810,45177.105
11820,45179.840
11830,45189.926
11840,45187.668
11850,45242.324
11860,45197.348
11870,45194.637
11880,45212.801
11890,45190.871
11900,45201.250
11910,45208.559
11920,45211.191
11930,45218.340
11940,45204.230
11950,52575.730
